priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,addr,_package,_class,_method
M,V,EI_EXPOSE_REP,com.helger.as2lib.AbstractDynamicComponent,m_aAttrs,attrs()Lcom/helger/commons/collection/attr/StringMap;,67,67,0,EI,com.helger.as2lib,com.helger.as2lib.AbstractDynamicComponent,com.helger.as2lib.AbstractDynamicComponent.attrs
L,B,SE_NO_SERIALVERSIONID,com.helger.as2lib.partner.Partnership,NO_FIELD,NO_METHOD,67,1025,1,SnVI,com.helger.as2lib.partner,com.helger.as2lib.partner.Partnership,com.helger.as2lib.partner.Partnership.NO_METHOD
M,V,EI_EXPOSE_REP,com.helger.as2lib.processor.AS2ProcessorException,m_aProcessor,getProcessor()Lcom/helger/as2lib/processor/IMessageProcessor;,91,91,1,EI,com.helger.as2lib.processor,com.helger.as2lib.processor.AS2ProcessorException,com.helger.as2lib.processor.AS2ProcessorException.getProcessor
M,V,EI_EXPOSE_REP2,com.helger.as2lib.processor.AS2ProcessorException,m_aProcessor,<init>(Lcom/helger/as2lib/processor/IMessageProcessor;Ljava/util/List;)V,84,84,1,EI2,com.helger.as2lib.processor,com.helger.as2lib.processor.AS2ProcessorException,com.helger.as2lib.processor.AS2ProcessorException.<init>
L,B,SE_NO_SERIALVERSIONID,com.helger.as2lib.params.MessageParameters,NO_FIELD,NO_METHOD,57,140,0,SnVI,com.helger.as2lib.params,com.helger.as2lib.params.MessageParameters,com.helger.as2lib.params.MessageParameters.NO_METHOD
M,V,EI_EXPOSE_REP,com.helger.as2lib.message.AbstractBaseMessage,m_aHeaders,headers()Lcom/helger/commons/http/HttpHeaderMap;,96,96,0,EI,com.helger.as2lib.message,com.helger.as2lib.message.AbstractBaseMessage,com.helger.as2lib.message.AbstractBaseMessage.headers
M,V,EI_EXPOSE_REP,com.helger.as2lib.message.AbstractBaseMessage,m_aAttributes,attrs()Lcom/helger/commons/collection/attr/StringMap;,89,89,0,EI,com.helger.as2lib.message,com.helger.as2lib.message.AbstractBaseMessage,com.helger.as2lib.message.AbstractBaseMessage.attrs
M,V,EI_EXPOSE_REP,com.helger.as2lib.message.AbstractBaseMessage,m_aPartnership,partnership()Lcom/helger/as2lib/partner/Partnership;,109,109,0,EI,com.helger.as2lib.message,com.helger.as2lib.message.AbstractBaseMessage,com.helger.as2lib.message.AbstractBaseMessage.partnership
M,V,EI_EXPOSE_REP2,com.helger.as2lib.message.AbstractBaseMessage,m_aPartnership,setPartnership(Lcom/helger/as2lib/partner/Partnership;)V,102,102,0,EI2,com.helger.as2lib.message,com.helger.as2lib.message.AbstractBaseMessage,com.helger.as2lib.message.AbstractBaseMessage.setPartnership
M,V,MS_EXPOSE_REP,com.helger.as2lib.util.AS2IOHelper,FOM,getFileOperationManager()Lcom/helger/commons/io/file/FileOperationManager;,83,83,0,MS,com.helger.as2lib.util,com.helger.as2lib.util.AS2IOHelper,com.helger.as2lib.util.AS2IOHelper.getFileOperationManager
M,V,EI_EXPOSE_REP,com.helger.as2lib.message.AbstractMessageMDN,m_aData,getData()Ljavax/mail/internet/MimeBodyPart;,79,79,0,EI,com.helger.as2lib.message,com.helger.as2lib.message.AbstractMessageMDN,com.helger.as2lib.message.AbstractMessageMDN.getData
M,V,EI_EXPOSE_REP,com.helger.as2lib.message.AbstractMessageMDN,m_aMessage,getMessage()Lcom/helger/as2lib/message/IMessage;,67,67,0,EI,com.helger.as2lib.message,com.helger.as2lib.message.AbstractMessageMDN,com.helger.as2lib.message.AbstractMessageMDN.getMessage
M,V,EI_EXPOSE_REP2,com.helger.as2lib.message.AbstractMessageMDN,m_aMessage,setMessage(Lcom/helger/as2lib/message/IMessage;)V,73,73,0,EI2,com.helger.as2lib.message,com.helger.as2lib.message.AbstractMessageMDN,com.helger.as2lib.message.AbstractMessageMDN.setMessage
M,V,EI_EXPOSE_REP2,com.helger.as2lib.message.AbstractMessageMDN,m_aData,setData(Ljavax/mail/internet/MimeBodyPart;)V,84,84,0,EI2,com.helger.as2lib.message,com.helger.as2lib.message.AbstractMessageMDN,com.helger.as2lib.message.AbstractMessageMDN.setData
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,com.helger.as2lib.message.AbstractMessageMDN,NO_FIELD,<init>(Lcom/helger/as2lib/message/IMessage;)V,61,61,0,MC,com.helger.as2lib.message,com.helger.as2lib.message.AbstractMessageMDN,com.helger.as2lib.message.AbstractMessageMDN.<init>
M,X,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,com.helger.as2lib.util.http.TempSharedFileInputStream,NO_FIELD,storeContentToTempFile(Ljava/io/InputStream;Ljava/lang/String;)Ljava/io/File;,137,137,1,OBL,com.helger.as2lib.util.http,com.helger.as2lib.util.http.TempSharedFileInputStream,com.helger.as2lib.util.http.TempSharedFileInputStream.storeContentToTempFile
M,B,THROWS_METHOD_THROWS_CLAUSE_THROWABLE,com.helger.as2lib.util.http.TempSharedFileInputStream,NO_FIELD,finalize()V,90,99,0,THROWS,com.helger.as2lib.util.http,com.helger.as2lib.util.http.TempSharedFileInputStream,com.helger.as2lib.util.http.TempSharedFileInputStream.finalize
L,B,SE_NO_SERIALVERSIONID,com.helger.as2lib.partner.PartnershipMap,NO_FIELD,NO_METHOD,56,192,0,SnVI,com.helger.as2lib.partner,com.helger.as2lib.partner.PartnershipMap,com.helger.as2lib.partner.PartnershipMap.NO_METHOD
M,V,EI_EXPOSE_REP2,com.helger.as2lib.params.CompositeParameters,m_aParameterParsers,setParameterParsers(Lcom/helger/commons/collection/impl/ICommonsMap;)V,138,138,0,EI2,com.helger.as2lib.params,com.helger.as2lib.params.CompositeParameters,com.helger.as2lib.params.CompositeParameters.setParameterParsers
L,B,SE_NO_SERIALVERSIONID,com.helger.as2lib.params.CompositeParameters,NO_FIELD,NO_METHOD,51,147,0,SnVI,com.helger.as2lib.params,com.helger.as2lib.params.CompositeParameters,com.helger.as2lib.params.CompositeParameters.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2lib.message.AS2Message,NO_FIELD,NO_METHOD,64,137,0,SnVI,com.helger.as2lib.message,com.helger.as2lib.message.AS2Message,com.helger.as2lib.message.AS2Message.NO_METHOD
M,V,EI_EXPOSE_REP2,com.helger.as2lib.util.dump.HTTPOutgoingDumperStreamBased,m_aOS,<init>(Ljava/io/OutputStream;)V,74,74,0,EI2,com.helger.as2lib.util.dump,com.helger.as2lib.util.dump.HTTPOutgoingDumperStreamBased,com.helger.as2lib.util.dump.HTTPOutgoingDumperStreamBased.<init>
H,B,DMI_RANDOM_USED_ONLY_ONCE,com.helger.as2lib.message.AS2MessageMDN,NO_FIELD,generateMessageID()Ljava/lang/String;,70,70,1,DMI,com.helger.as2lib.message,com.helger.as2lib.message.AS2MessageMDN,com.helger.as2lib.message.AS2MessageMDN.generateMessageID
L,B,SE_NO_SERIALVERSIONID,com.helger.as2lib.message.AS2MessageMDN,NO_FIELD,NO_METHOD,57,79,0,SnVI,com.helger.as2lib.message,com.helger.as2lib.message.AS2MessageMDN,com.helger.as2lib.message.AS2MessageMDN.NO_METHOD
