priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,s1,s2,s3,s4,addr,_package,_class,_method,rank_score,s4_rank
L,D,PZLA_PREFER_ZERO_LENGTH_ARRAYS,org.apache.commons.lang.ClassUtils,NO_FIELD,primitivesToWrappers([Ljava/lang/Class;)[Ljava/lang/Class;,645,645,0,0.0,0.0,0.0,0.0,PZLA,org.apache.commons.lang,org.apache.commons.lang.ClassUtils,org.apache.commons.lang.ClassUtils.primitivesToWrappers,0.007361963190184048,0.0
M,B,ES_COMPARING_STRINGS_WITH_EQ,org.apache.commons.lang.time.DurationFormatUtils,m,format([Lorg/apache/commons/lang/time/DurationFormatUtils$Token;IIIIIIIZ)Ljava/lang/String;,449,449,0,0.0,0.0,0.0,0.0,ES,org.apache.commons.lang.time,org.apache.commons.lang.time.DurationFormatUtils,org.apache.commons.lang.time.DurationFormatUtils.format,0.024137584230111635,0.0
M,B,ES_COMPARING_STRINGS_WITH_EQ,org.apache.commons.lang.time.DurationFormatUtils,M,format([Lorg/apache/commons/lang/time/DurationFormatUtils$Token;IIIIIIIZ)Ljava/lang/String;,437,437,0,0.0,0.0,0.0,0.0,ES,org.apache.commons.lang.time,org.apache.commons.lang.time.DurationFormatUtils,org.apache.commons.lang.time.DurationFormatUtils.format,0.024137584230111635,0.0
M,B,ES_COMPARING_STRINGS_WITH_EQ,org.apache.commons.lang.time.DurationFormatUtils,d,format([Lorg/apache/commons/lang/time/DurationFormatUtils$Token;IIIIIIIZ)Ljava/lang/String;,441,441,0,0.0,0.0,0.0,0.0,ES,org.apache.commons.lang.time,org.apache.commons.lang.time.DurationFormatUtils,org.apache.commons.lang.time.DurationFormatUtils.format,0.024137584230111635,0.0
L,D,PZLA_PREFER_ZERO_LENGTH_ARRAYS,org.apache.commons.lang.ArrayUtils,NO_FIELD,toPrimitive([Ljava/lang/Boolean;Z)[Z,2783,2783,0,0.0,0.0,0.0,0.0,PZLA,org.apache.commons.lang,org.apache.commons.lang.ArrayUtils,org.apache.commons.lang.ArrayUtils.toPrimitive,0.1353353832678473,0.0
M,B,ES_COMPARING_STRINGS_WITH_EQ,org.apache.commons.lang.time.DurationFormatUtils,S,format([Lorg/apache/commons/lang/time/DurationFormatUtils$Token;IIIIIIIZ)Ljava/lang/String;,457,457,0,0.0,0.0,0.0,0.0,ES,org.apache.commons.lang.time,org.apache.commons.lang.time.DurationFormatUtils,org.apache.commons.lang.time.DurationFormatUtils.format,0.024137584230111635,0.0
M,B,ES_COMPARING_STRINGS_WITH_EQ,org.apache.commons.lang.time.DurationFormatUtils,s,format([Lorg/apache/commons/lang/time/DurationFormatUtils$Token;IIIIIIIZ)Ljava/lang/String;,453,453,0,0.0,0.0,0.0,0.0,ES,org.apache.commons.lang.time,org.apache.commons.lang.time.DurationFormatUtils,org.apache.commons.lang.time.DurationFormatUtils.format,0.024137584230111635,0.0
L,C,RpC_REPEATED_CONDITIONAL_TEST,org.apache.commons.lang.time.DurationFormatUtils,NO_FIELD,formatPeriod(JJLjava/lang/String;ZLjava/util/TimeZone;)Ljava/lang/String;,331,331,0,0.0,0.0,0.0,0.0,RpC,org.apache.commons.lang.time,org.apache.commons.lang.time.DurationFormatUtils,org.apache.commons.lang.time.DurationFormatUtils.formatPeriod,0.015085990143819773,0.0
H,B,CN_IDIOM_NO_SUPER_CALL,org.apache.commons.lang.text.StrTokenizer,NO_FIELD,clone()Ljava/lang/Object;,1070,1072,0,0.0,0.0,0.0,0.0,CN,org.apache.commons.lang.text,org.apache.commons.lang.text.StrTokenizer,org.apache.commons.lang.text.StrTokenizer.clone,0.15416170012738376,0.0
L,D,PZLA_PREFER_ZERO_LENGTH_ARRAYS,org.apache.commons.lang.ArrayUtils,NO_FIELD,toObject([Z)[Ljava/lang/Boolean;,2805,2805,0,0.0,0.0,0.0,0.0,PZLA,org.apache.commons.lang,org.apache.commons.lang.ArrayUtils,org.apache.commons.lang.ArrayUtils.toObject,0.20682806346474036,0.0
